Squirrel,Dirkenhymer,0
Sir Fresh,Sobek,0
PWND,Yashichi,0
CHAR,gabruoy,0
Starblazer626,Hai,0
Caviar,Notnilc,0
RenoMO,Strudels,1
Gio,Raxtus,0
Creamy,Squirrel,0
Happy,Sir Fresh,1
Noodles,PWND,0
UmbrionKnight,CHAR,0
Hehe,Starblazer626,0
alert,Caviar,1
Lewton,Strudels,0
Swell,Gio,1
Creamy,Sir Fresh,1
Noodles,UmbrionKnight,1
Hehe,Caviar,0
Lewton,Gio,0
Sir Fresh,UmbrionKnight,1
Hehe,Lewton,0
UmbrionKnight,Hehe,1
Swell,Dirkenhymer,0
Strudels,Sobek,1
alert,Yashichi,0
Starblazer626,gabruoy,0
CHAR,Hai,0
PWND,Notnilc,0
Happy,RenoMO,1
Squirrel,Raxtus,0
Swell,Sobek,0
alert,Starblazer626,0
CHAR,PWND,1
RenoMO,Squirrel,1
Noodles,Swell,1
Creamy,alert,1
Gio,PWND,0
Caviar,Squirrel,1
Swell,alert,0
Gio,Squirrel,1
Lewton,Swell,0
Sir Fresh,Squirrel,0
Lewton,Sir Fresh,0
UmbrionKnight,Lewton,1
Hehe,Lewton,0
