Starblazer626,Dirkenhymer,0
RenoMO,Notnilc,0
Gio,Raxtus,0
CHAR,Icekiller72,0
Squirrel,Strudels,1
Hehe,Starblazer626,0
Sir Fresh,Happy,0
Floofy,RenoMO,0
Swell,Gio,0
Lewton,CHAR,0
Caviar,alert,0
UmbrionKnight,Strudels,0
Noodles,PWND,1
Hehe,Sir Fresh,0
Floofy,Swell,1
Lewton,Caviar,0
UmbrionKnight,PWND,1
Hehe,Swell,0
Lewton,PWND,0
Hehe,Lewton,0
Noodles,Dirkenhymer,0
alert,Notnilc,0
CHAR,Raxtus,0
Gio,Icekiller72,1
Happy,Squirrel,0
Strudels,Noodles,1
alert,CHAR,0
RenoMO,Icekiller72,0
Starblazer626,Happy,1
Floofy,Noodles,1
Sir Fresh,alert,1
UmbrionKnight,RenoMO,0
Caviar,Happy,0
Noodles,alert,0
UmbrionKnight,Caviar,0
PWND,Noodles,1
Swell,UmbrionKnight,1
Noodles,UmbrionKnight,1
Lewton,UmbrionKnight,0
Hehe,Lewton,0
