Javi,Starblazer626,1
RenoMO,Krilek,0
Caviar,Notnilc,0
Floofy,Tragic Bike,0
Gio,Icekiller72,1
Noodles,Trixster,0
Pwnd,Strudels,0
Lewton,BG,0
SwaggyP,Squirrel,1
Happy,Yashichi,0
alert,gabruoy,0
UmbrionKnight,Vista,0
CHAR,Dirkenhymer,1
Swell,VapeG0D,0
Sir Fresh, Raxtus,0
Hehe,Starblazer626,0
RenoMO,Caviar,1
Flopfy,Icekiller72,0
Noodles,PWND,0
Lewton,Squirrel,0
Happy,alert,1
UmbrionKnight,Dirkenhymer,0
Swell,Sir Fresh,0
Hehe,Caviar,0
Floofy,Noodles,0
Lewton,alert,0
UmbrionKnight,Swell,0
Hehe,Floofy,0
Lewton,UmbrionKnight,0
Lewton,UmbrionKnight,1
Notnilc,Krilek,1
Tragic Buke,Gio,1
Trixster,Strudels,1
BG,SwaggyP,1
Yashichi,gabruoy,0
Vista,CHAR,1
VapeG0D,Raxtus,1
Sir Fresh,Javi,0
Dirkenhymer,Krilek,0
Happy,Gio,0
Squirrel,Strudels,0
PWND,SwaggyP,0
Icekiller72,Yashichi,0
Starblazer626,Raxtus,0
Sir Fresh,Dirkenhymer,0
Happy,Squirrel,0
PWND,Icekiller72,0
RenoMO,Starblazer626,0
Noodles,Sir Fresh,0
Caviar,Happy,1
Swell,PWND,0
alert,RenoMO,0
Noodles,Happy,0
Swell,alert,0
UmbrionKnight,Noodles,0
Floofy,Swell,1
UmbrionKnight,Swell,0
Hehe,UmbrionKnight,0
Hehe,Lewton,1
Hehe,Lewton,0
